model,instrument_type,instrument,quandl_id
EQUITY_TREND_EBAY,EBAY,STOCK,YAHOO/EBAY
EQUITY_TREND_ECL,ECL,STOCK,YAHOO/ECL
EQUITY_TREND_EIX,EIX,STOCK,YAHOO/EIX
EQUITY_TREND_EW,EW,STOCK,YAHOO/EW
EQUITY_TREND_EA,EA,STOCK,YAHOO/EA
EQUITY_TREND_EMC,EMC,STOCK,YAHOO/EMC
EQUITY_TREND_EMR,EMR,STOCK,YAHOO/EMR
EQUITY_TREND_ENDP,ENDP,STOCK,YAHOO/ENDP
EQUITY_TREND_ETR,ETR,STOCK,YAHOO/ETR
EQUITY_TREND_EOG,EOG,STOCK,YAHOO/EOG
EQUITY_TREND_EQT,EQT,STOCK,YAHOO/EQT
EQUITY_TREND_EFX,EFX,STOCK,YAHOO/EFX
EQUITY_TREND_EQIX,EQIX,STOCK,YAHOO/EQIX
EQUITY_TREND_EQR,EQR,STOCK,YAHOO/EQR
EQUITY_TREND_ESS,ESS,STOCK,YAHOO/ESS
EQUITY_TREND_EL,EL,STOCK,YAHOO/EL
EQUITY_TREND_ES,ES,STOCK,YAHOO/ES
EQUITY_TREND_EXC,EXC,STOCK,YAHOO/EXC
EQUITY_TREND_EXPE,EXPE,STOCK,YAHOO/EXPE
EQUITY_TREND_EXPD,EXPD,STOCK,YAHOO/EXPD
EQUITY_TREND_ESRX,ESRX,STOCK,YAHOO/ESRX
EQUITY_TREND_EXR,EXR,STOCK,YAHOO/EXR
EQUITY_TREND_XOM,XOM,STOCK,YAHOO/XOM
EQUITY_TREND_FFIV,FFIV,STOCK,YAHOO/FFIV
EQUITY_TREND_FB,FB,STOCK,YAHOO/FB
EQUITY_TREND_FAST,FAST,STOCK,YAHOO/FAST
EQUITY_TREND_FRT,FRT,STOCK,YAHOO/FRT
EQUITY_TREND_FDX,FDX,STOCK,YAHOO/FDX
EQUITY_TREND_FIS,FIS,STOCK,YAHOO/FIS
EQUITY_TREND_FITB,FITB,STOCK,YAHOO/FITB
EQUITY_TREND_FSLR,FSLR,STOCK,YAHOO/FSLR
EQUITY_TREND_FE,FE,STOCK,YAHOO/FE
EQUITY_TREND_FISV,FISV,STOCK,YAHOO/FISV
EQUITY_TREND_FLIR,FLIR,STOCK,YAHOO/FLIR
EQUITY_TREND_FLS,FLS,STOCK,YAHOO/FLS
EQUITY_TREND_FLR,FLR,STOCK,YAHOO/FLR
EQUITY_TREND_FMC,FMC,STOCK,YAHOO/FMC
EQUITY_TREND_FTI,FTI,STOCK,YAHOO/FTI
EQUITY_TREND_FL,FL,STOCK,YAHOO/FL
EQUITY_TREND_F,F,STOCK,YAHOO/F
