date,close,position
2015-07-18,5.3e-07,-2.40321480703e+12
2015-07-19,5.4e-07,-2.40881449429e+12
2015-07-20,5.3e-07,-2.41175787647e+12
2015-07-21,5.1e-07,-2.40878597056e+12
2015-07-22,5.1e-07,-2.41750413292e+12
2015-07-23,5.2e-07,-2.41453968774e+12
2015-07-24,6.1e-07,-2.29972193819e+12
2015-07-25,6.2e-07,-2.29972193819e+12
2015-07-26,6.1e-07,-2.30273124918e+12
2015-07-27,5.5e-07,-2.2642223384e+12
2015-07-28,5.9e-07,-2.24423536767e+12
2015-07-29,5.4e-07,-2.68670958881e+12
2015-07-30,5.7e-07,-2.8916733467e+12
2015-07-31,5.6e-07,-2.90980438696e+12
2015-08-01,5.5e-07,-2.91661603141e+12
2015-08-02,5.4e-07,-2.92684703502e+12
2015-08-03,5.4e-07,-2.93048678771e+12
2015-08-04,5.1e-07,-2.93048678771e+12
2015-08-05,5.4e-07,-2.90478938136e+12
2015-08-06,5e-07,-2.89538141407e+12
2015-08-07,5e-07,-2.90854820079e+12
2015-08-08,5.1e-07,-2.99025180201e+12
2015-08-09,4.9e-07,-2.98177558332e+12
2015-08-10,5.1e-07,-3.04491759803e+12
2015-08-11,4.9e-07,-3.04491759803e+12
2015-08-12,5e-07,-3.04890078941e+12
2015-08-13,4.6e-07,-3.02489422315e+12
2015-08-14,4.5e-07,-3.02416018312e+12
2015-08-15,4.5e-07,-3.06235047482e+12
2015-08-16,4.7e-07,-3.06235047482e+12
2015-08-17,4.6e-07,-3.06235047482e+12
2015-08-18,4.4e-07,-3.07538595377e+12
2015-08-19,4.6e-07,-3.07538595377e+12
2015-08-20,4.5e-07,-3.21955650444e+12
2015-08-21,4.4e-07,-3.25275439044e+12
2015-08-22,4.4e-07,-3.25465241355e+12
2015-08-23,4.3e-07,-3.25465241355e+12
2015-08-24,4.4e-07,-3.49163011955e+12
2015-08-25,3.9e-07,-3.39661782073e+12
2015-08-26,4.1e-07,-3.67871185355e+12
2015-08-27,4.2e-07,-3.72635749694e+12
2015-08-28,4.1e-07,-3.7627883347e+12
2015-08-29,4.3e-07,-3.81472805773e+12
2015-08-30,4.4e-07,-3.90957751e+12
2015-08-31,4.1e-07,-3.95032853588e+12
2015-09-01,4.4e-07,-3.95032853588e+12
2015-09-02,4.2e-07,-3.93084775547e+12
2015-09-03,4.1e-07,-3.92775255054e+12
2015-09-04,4.2e-07,-3.92183019614e+12
2015-09-05,4.2e-07,-3.92183019614e+12
2015-09-06,4e-07,-3.90325132866e+12
2015-09-07,4e-07,-3.91262991245e+12
2015-09-08,4e-07,-3.91544444635e+12
2015-09-09,4e-07,-3.93419880953e+12
2015-09-10,3.9e-07,-3.93084775547e+12
2015-09-11,3.9e-07,-3.94017745994e+12
2015-09-12,3.7e-07,-4.61085449498e+12
2015-09-13,3.9e-07,-4.57194196783e+12
2015-09-14,3.9e-07,-4.57291744032e+12
2015-09-15,4.3e-07,-4.70743169566e+12
2015-09-16,4.6e-07,-4.78935561014e+12
2015-09-17,4.7e-07,-5.05155176061e+12
2015-09-18,4.3e-07,-4.9989799041e+12
2015-09-19,4.4e-07,-4.98577522011e+12
2015-09-20,4.4e-07,-4.99261841937e+12
2015-09-21,4.5e-07,-4.98249036671e+12
2015-09-22,5.6e-07,-3.91360819223e+12
2015-09-23,5.2e-07,-3.87112723017e+12
2015-09-24,5e-07,-3.90288729296e+12
2015-09-25,5.7e-07,0.0
2015-09-26,5.6e-07,0.0
2015-09-27,5.6e-07,0.0
2015-09-28,5.7e-07,0.0
2015-09-29,6.3e-07,0.0
2015-09-30,6.4e-07,0.0
2015-10-01,7.4e-07,0.0
2015-10-02,6.3e-07,0.0
2015-10-03,5.3e-07,0.0
2015-10-04,5.1e-07,0.0
2015-10-05,4.9e-07,0.0
2015-10-06,5.2e-07,0.0
2015-10-07,5.6e-07,0.0
2015-10-08,4.9e-07,0.0
2015-10-09,4.8e-07,0.0
2015-10-10,4.7e-07,0.0
2015-10-11,4.6e-07,0.0
2015-10-12,4.8e-07,0.0
2015-10-13,4.7e-07,0.0
2015-10-14,4.5e-07,0.0
2015-10-15,4.4e-07,0.0
2015-10-16,4.4e-07,0.0
2015-10-17,4.6e-07,0.0
2015-10-18,4.7e-07,0.0
2015-10-19,4.4e-07,0.0
2015-10-20,4.3e-07,0.0
2015-10-21,4.4e-07,0.0
2015-10-22,4.3e-07,0.0
2015-10-23,4.4e-07,0.0
2015-10-24,4.3e-07,0.0
2015-10-25,4.2e-07,0.0
2015-10-26,4e-07,0.0
2015-10-27,4e-07,0.0
2015-10-28,3.9e-07,0.0
2015-10-29,4.5e-07,0.0
2015-10-30,4.8e-07,0.0
2015-10-31,4.3e-07,0.0
2015-11-01,4.6e-07,0.0
2015-11-02,4.5e-07,0.0
2015-11-03,4.3e-07,0.0
2015-11-04,3.7e-07,0.0
2015-11-05,3.9e-07,0.0
2015-11-06,3.8e-07,0.0
2015-11-07,3.9e-07,0.0
2015-11-08,3.8e-07,0.0
2015-11-09,3.9e-07,0.0
2015-11-10,3.9e-07,0.0
2015-11-11,4.1e-07,0.0
2015-11-12,3.9e-07,0.0
2015-11-13,3.8e-07,0.0
2015-11-14,3.9e-07,0.0
2015-11-15,3.5e-07,0.0
2015-11-16,3.9e-07,0.0
2015-11-17,2.9e-07,0.0
2015-11-18,3.3e-07,0.0
2015-11-19,3.4e-07,0.0
2015-11-20,3.4e-07,0.0
2015-11-21,3.2e-07,-3.15654953287e+12
2015-11-22,2.9e-07,-3.46347965831e+12
2015-11-23,3.2e-07,-3.42471327526e+12
2015-11-24,3.3e-07,-3.42840807974e+12
2015-11-25,3.3e-07,-3.47498329441e+12
2015-11-26,3.2e-07,-3.56069297538e+12
2015-11-27,2.7e-07,-3.6673852452e+12
2015-11-28,2.9e-07,-3.64020909962e+12
2015-11-29,2.8e-07,-3.64020909962e+12
2015-11-30,2.8e-07,-3.6414895282e+12
2015-12-01,3.2e-07,-3.57739338322e+12
2015-12-02,2.9e-07,-3.54677108514e+12
2015-12-03,3e-07,-3.55142402602e+12
2015-12-04,3.2e-07,-3.53049394057e+12
2015-12-05,2.9e-07,-3.49781454865e+12
2015-12-06,2.7e-07,-3.50975311618e+12
2015-12-07,3.2e-07,-3.39749786681e+12
2015-12-08,3.3e-07,-3.42143901353e+12
2015-12-09,3.3e-07,-3.42381191631e+12
2015-12-10,3.3e-07,-3.42964234125e+12
2015-12-11,3.3e-07,-3.43203236492e+12
2015-12-12,3.1e-07,-3.42536925636e+12
2015-12-13,3.3e-07,-3.40754668458e+12
2015-12-14,3.1e-07,-3.39717777092e+12
2015-12-15,2.7e-07,-3.35385385869e+12
2015-12-16,3.9e-07,-2.89915351159e+12
2015-12-17,5.4e-07,-2.47101578366e+12
2015-12-18,3.9e-07,0.0
2015-12-19,3.5e-07,0.0
2015-12-20,3.5e-07,0.0
2015-12-21,4.3e-07,0.0
2015-12-22,4.4e-07,0.0
2015-12-23,4.6e-07,0.0
2015-12-24,3.9e-07,0.0
2015-12-25,4.1e-07,0.0
