Date,Close,position
2012-01-13,49.189999,68269.0
2012-01-17,50.98,66595.0
2012-01-18,50.970001,66716.0
2012-01-19,51.34,66263.0
2012-01-20,50.91,66849.0
2012-01-23,50.540001,68028.0
2012-01-24,49.779999,68976.0
2012-01-25,50.720001,67633.0
2012-01-26,49.220001,69527.0
2012-01-27,49.169998,69667.0
2012-01-30,48.740002,70270.0
2012-01-31,48.490002,70857.0
2012-02-01,50.459999,68017.0
2012-02-02,50.080002,69311.0
2012-02-03,50.5,69288.0
2012-02-06,50.130001,69758.0
2012-02-07,49.77,70363.0
2012-02-08,49.57,70957.0
2012-02-09,48.490002,72291.0
2012-02-10,47.91,73888.0
2012-02-13,48.450001,73140.0
2012-02-14,48.490002,74614.0
2012-02-15,48.23,75575.0
2012-02-16,47.98,76979.0
2012-02-17,47.389999,78004.0
2012-02-21,46.560001,79537.0
2012-02-22,46.490002,80265.0
2012-02-23,47.549999,78996.0
2012-02-24,47.93,78441.0
2012-02-27,50.580002,77401.0
2012-02-28,51.080002,76648.0
2012-02-29,52.91,74016.0
2012-03-01,54.32,72166.0
2012-03-02,53.849998,73419.0
2012-03-05,54.310001,72856.0
2012-03-06,53.860001,73439.0
2012-03-07,54.490002,72600.0
2012-03-08,55.130001,71820.0
2012-03-09,55.580002,71482.0
2012-03-12,54.59,72534.0
2012-03-13,54.57,72575.0
2012-03-14,53.73,73846.0
2012-03-15,54.700001,73205.0
2012-03-16,53.639999,75023.0
2012-03-19,53.799999,75505.0
2012-03-20,53.310001,76202.0
2012-03-21,53.720001,75694.0
2012-03-22,53.07,77688.0
2012-03-23,53.75,76647.0
2012-03-26,54.610001,76338.0
2012-03-27,54.049999,78087.0
2012-03-28,53.689999,78561.0
2012-03-29,53.889999,93644.0
2012-03-30,53.689999,94240.0
2012-04-02,54.82,94721.0
2012-04-03,54.459999,95339.0
2012-04-04,54.130001,97404.0
2012-04-05,54.759998,96206.0
2012-04-09,53.939999,99431.0
2012-04-10,52.950001,100708.0
2012-04-11,52.509998,101396.0
2012-04-12,53.709999,98715.0
2012-04-13,52.799999,100560.0
2012-04-16,53.810001,98403.0
2012-04-17,54.91,96027.0
2012-04-18,55.310001,95370.0
2012-04-19,55.049999,96695.0
2012-04-20,55.099998,96609.0
2012-04-23,54.939999,99478.0
2012-04-24,55.900002,97443.0
2012-04-25,55.970001,101639.0
2012-04-26,55.849998,102070.0
2012-04-27,55.939999,102000.0
2012-04-30,55.630001,102479.0
2012-05-01,56.299999,101099.0
2012-05-02,56.450001,100839.0
2012-05-03,51.240002,99539.0
2012-05-04,50.93,102526.0
2012-05-07,52.139999,100011.0
2012-05-08,52.049999,100363.0
2012-05-09,52.25,103583.0
2012-05-10,53.169998,102665.0
2012-05-11,52.939999,103170.0
2012-05-14,51.009998,105634.0
2012-05-15,49.830002,108112.0
2012-05-16,49.16,109280.0
2012-05-17,48.279999,110928.0
2012-05-18,47.029999,112870.0
2012-05-21,47.189999,112729.0
2012-05-22,47.779999,112172.0
2012-05-23,46.650002,-114137.0
2012-05-24,48.040001,-109601.0
2012-05-25,48.48,-109615.0
2012-05-29,48.400002,-110957.0
2012-05-30,47.919998,-112045.0
2012-05-31,48.66,-110043.0
2012-06-01,47.0,-113750.0
2012-06-04,46.509998,-115127.0
2012-06-05,47.48,-112700.0
2012-06-06,48.279999,-110680.0
2012-06-07,48.560001,-110012.0
2012-06-08,48.52,-112283.0
2012-06-11,46.41,-114271.0
2012-06-12,45.990002,-115312.0
2012-06-13,45.150002,-117052.0
2012-06-14,45.950001,-114521.0
2012-06-15,44.93,-116705.0
2012-06-18,46.310001,-112287.0
2012-06-19,47.84,-108300.0
2012-06-20,48.240002,-107301.0
2012-06-21,45.23,-108991.0
2012-06-22,46.599998,-104616.0
2012-06-25,46.02,-107954.0
2012-06-26,45.939999,-108204.0
2012-06-27,45.189999,-109784.0
2012-06-28,43.73,-112148.0
2012-06-29,44.790001,-108706.0
2012-07-02,44.959999,-108281.0
2012-07-03,46.990002,-101649.0
2012-07-05,46.830002,-102151.0
2012-07-06,46.0,-103780.0
2012-07-09,46.189999,-103332.0
2012-07-10,44.869999,-105441.0
2012-07-11,45.02,-105099.0
2012-07-12,45.029999,-105246.0
2012-07-13,45.27,-105010.0
2012-07-16,45.049999,-105498.0
2012-07-17,47.02,-99510.0
2012-07-18,47.950001,-97233.0
2012-07-19,47.970001,-100633.0
2012-07-20,47.630001,-101425.0
2012-07-23,46.0,-105304.0
2012-07-24,46.0,-106291.0
2012-07-25,47.009998,-103402.0
2012-07-26,47.68,-101775.0
2012-07-27,49.119999,-97737.0
2012-07-30,48.639999,-98789.0
2012-07-31,47.560001,-100702.0
2012-08-01,46.889999,-102057.0
2012-08-02,46.93,-102284.0
2012-08-03,47.93,-99566.0
2012-08-06,48.110001,-99406.0
2012-08-07,49.580002,-95766.0
2012-08-08,50.360001,-94377.0
2012-08-09,49.959999,-95084.0
2012-08-10,50.360001,-94334.0
2012-08-13,49.959999,-95099.0
2012-08-14,50.759998,-93461.0
2012-08-15,51.27,-92600.0
2012-08-16,50.610001,-93928.0
2012-08-17,51.900002,-91003.0
2012-08-20,52.52,-89826.0
2012-08-21,52.32,-90169.0
2012-08-22,52.07,90593.0
2012-08-23,51.25,92265.0
2012-08-24,52.099998,90507.0
2012-08-27,51.709999,91171.0
2012-08-28,51.52,91642.0
2012-08-29,51.75,91434.0
2012-08-30,51.189999,92663.0
2012-08-31,51.27,92587.0
2012-09-04,58.779999,66538.0
2012-09-05,59.299999,66097.0
2012-09-06,60.189999,65184.0
2012-09-07,59.470001,66072.0
2012-09-10,59.150002,66429.0
2012-09-11,58.040001,67512.0
2012-09-12,58.400002,67081.0
2012-09-13,58.639999,66809.0
2012-09-14,56.369999,68825.0
2012-09-17,55.900002,69364.0
2012-09-18,55.540001,69793.0
2012-09-19,55.689999,69603.0
2012-09-20,55.689999,69621.0
2012-09-21,55.110001,70367.0
2012-09-24,54.98,70534.0
2012-09-25,55.48,74934.0
2012-09-26,55.27,75237.0
2012-09-27,55.59,75129.0
2012-09-28,55.27,75539.0
2012-10-01,56.16,74197.0
2012-10-02,55.869999,74742.0
2012-10-03,56.950001,73123.0
2012-10-04,56.939999,74060.0
2012-10-05,56.700001,74759.0
2012-10-08,56.52,75136.0
2012-10-09,55.889999,76135.0
2012-10-10,55.259998,77426.0
2012-10-11,56.040001,76246.0
2012-10-12,55.740002,76698.0
2012-10-15,56.349998,76275.0
2012-10-16,57.669998,74747.0
2012-10-17,58.610001,73444.0
2012-10-18,58.07,74048.0
2012-10-19,56.439999,75650.0
2012-10-22,55.990002,76322.0
2012-10-23,54.619999,78672.0
2012-10-24,55.02,78188.0
2012-10-25,55.27,78093.0
2012-10-26,55.619999,77754.0
2012-10-31,55.93,77324.0
2012-11-01,56.759998,76075.0
2012-11-02,56.369999,78079.0
2012-11-05,55.290001,79350.0
2012-11-06,54.0,81063.0
2012-11-07,53.330002,82118.0
2012-11-08,54.07,81341.0
2012-11-09,53.959999,82161.0
2012-11-12,54.98,81192.0
2012-11-13,55.040001,81140.0
2012-11-14,53.560001,86295.0
2012-11-15,53.32,87418.0
2012-11-16,55.029999,84046.0
2012-11-19,55.290001,83657.0
2012-11-20,55.119999,84201.0
2012-11-21,55.02,85462.0
2012-11-23,55.389999,85328.0
2012-11-26,56.189999,83978.0
2012-11-27,54.91,87153.0
2012-11-28,55.049999,86958.0
2012-11-29,55.400002,86779.0
2012-11-30,55.279999,86954.0
2012-12-03,55.369999,87785.0
2012-12-04,56.900002,84785.0
2012-12-05,57.709999,83468.0
2012-12-06,57.709999,83468.0
2012-12-07,57.790001,83406.0
2012-12-10,58.16,84563.0
2012-12-11,59.23,83083.0
2012-12-12,59.259998,83041.0
2012-12-13,58.080002,84313.0
2012-12-14,59.029999,84136.0
2012-12-17,59.459999,83514.0
2012-12-18,59.91,83247.0
2012-12-19,59.75,83586.0
2012-12-20,61.029999,82260.0
2012-12-21,60.84,82641.0
2012-12-24,60.389999,83807.0
2012-12-26,60.310001,84206.0
2012-12-27,59.68,84909.0
2012-12-28,58.869999,86191.0
2012-12-31,59.77,84709.0
2013-01-02,60.75,83998.0
2013-01-03,61.07,83750.0
2013-01-04,60.709999,84288.0
2013-01-07,61.310001,83435.0
2013-01-08,62.290001,82032.0
2013-01-09,63.82,79745.0
2013-01-10,63.91,79692.0
2013-01-11,63.630001,80240.0
2013-01-14,63.580002,80865.0
2013-01-15,63.700001,80816.0
2013-01-16,63.52,81057.0
2013-01-17,63.779999,80774.0
2013-01-18,63.77,81135.0
2013-01-22,64.199997,80793.0
2013-01-23,63.84,81285.0
2013-01-24,64.550003,80347.0
2013-01-25,65.639999,78795.0
2013-01-28,65.550003,79079.0
2013-01-29,65.849998,78717.0
2013-01-30,66.169998,118980.0
2013-01-31,66.32,118923.0
2013-02-01,67.25,117375.0
2013-02-04,66.410004,118806.0
2013-02-05,66.639999,118541.0
2013-02-06,66.910004,119576.0
2013-02-07,67.239998,119029.0
2013-02-08,67.800003,117894.0
2013-02-11,67.559998,124966.0
2013-02-12,67.43,125616.0
2013-02-13,67.5,125806.0
2013-02-14,66.389999,126368.0
2013-02-15,66.529999,126117.0
2013-02-19,67.019997,125747.0
2013-02-20,66.239998,126474.0
2013-02-21,65.690002,127305.0
2013-02-22,65.739998,127343.0
2013-02-25,65.459999,127798.0
2013-02-26,65.160004,128459.0
2013-02-27,66.739998,124108.0
2013-02-28,67.459999,122657.0
2013-03-01,67.629997,123656.0
2013-03-04,69.410004,118047.0
2013-03-05,69.790001,117518.0
2013-03-06,68.519997,118167.0
2013-03-07,69.839996,115491.0
2013-03-08,70.779999,114206.0
2013-03-11,70.529999,114990.0
2013-03-12,70.599998,115099.0
2013-03-13,69.93,115947.0
2013-03-14,70.07,117498.0
2013-03-15,69.860001,118594.0
2013-03-18,70.540001,117708.0
2013-03-19,71.440002,119634.0
2013-03-20,73.330002,114633.0
2013-03-21,72.860001,118194.0
2013-03-22,73.970001,115853.0
2013-03-25,73.949997,115848.0
2013-03-26,74.400002,115154.0
2013-03-27,74.120003,115427.0
2013-03-28,75.019997,114285.0
2013-04-01,76.050003,112657.0
2013-04-02,75.370003,115181.0
2013-04-03,71.870003,113456.0
2013-04-04,72.610001,113010.0
2013-04-05,71.790001,113960.0
2013-04-08,72.120003,113524.0
2013-04-09,72.120003,114490.0
